feature,ic_pearson,ic_p_pvalue,ic_spearman,ic_s_pvalue,ic_p_ci_lo,ic_p_ci_hi,sign_match,n,feat_std,abs_ic_p
sec_ban_count,-0.1304102782143789,0.09811326432164692,-0.1183923652157075,0.13348428822211034,-0.27973555649437554,0.006930336132037081,0.46296296296296297,162,0.8441102095433861,0.1304102782143789
poi_fii_fut_idx_short,0.12943530840853557,0.1017466119331942,0.15778709295717572,0.04560465199499903,-0.13652824020151552,0.35417513891174174,0.5590062111801242,161,49898.7960857465,0.12943530840853557
fii_stats_bn_fut_buy_crore,-0.12749286116343708,0.10703112926382032,-0.14442719116632163,0.0675657340589845,-0.24341684032986388,-0.027448113781287063,0.4472049689440994,161,677.8273234280174,0.12749286116343708
banknifty_opt_idx_mkt_crore,0.12724813138718408,0.10771193407462462,-0.07723717506326203,0.33013136989782743,-0.00012722989485998207,0.23912011174022152,0.4968944099378882,161,2896145.639643198,0.12724813138718408
poi_fii_opt_idx_pe_long,-0.12713922131005134,0.1080159970057042,-0.07048826777087648,0.37425427510242026,-0.2496219841670822,0.011593156658839329,0.4968944099378882,161,154928.7619212411,0.12713922131005134
fii_stats_ni_fut_eod_oi_crore,0.1267509567932057,0.10910546097261004,0.10870715435932829,0.16985714073649616,-0.11045150177725596,0.36894435204279047,0.5341614906832298,161,6265.816778272684,0.1267509567932057
pvol_fii_fut_idx_long,-0.1260876208288706,0.11098666442143737,-0.04989072923855533,0.5296755410551655,-0.2478237400258097,0.017257464288243294,0.484472049689441,161,21067.435634751062,0.1260876208288706
deleq_universe_fut_eq,-0.12552993573897522,0.11258778960130059,-0.11815332413158502,0.1355026557374328,-0.2437551757057553,0.003354637771919747,0.4720496894409938,161,763981374.9105988,0.12552993573897522
poi_pro_opt_idx_ce_short,-0.12508314524053143,0.11388350089610212,-0.13209684840119623,0.09484239574717496,-0.26722788190705904,0.030917196690692594,0.4720496894409938,161,278929.4679859049,0.12508314524053143
pvol_fii_opt_idx_ce_long,0.12472255135311636,0.11493769525874192,0.09746664366229585,0.21869425606346699,-0.01689239811151517,0.28795044120552693,0.5217391304347826,161,3577746.113442387,0.12472255135311636
